country,Negative,Neutral,Positive,Total,positive_ratio,negative_ratio,neutral_ratio,max_ratio_sentiment
Afghanistan,3,4,11,18,0.611111111,0.166666667,0.222222222,positive
Albania,5,1,1,7,0.142857143,0.714285714,0.142857143,negative
Algeria,9,12,14,35,0.4,0.257142857,0.342857143,positive
Andorra,0,3,2,5,0.4,0,0.6,neutral
Angola,1,4,1,6,0.166666667,0.166666667,0.666666667,neutral
Antigua and Barbuda,0,1,2,3,0.666666667,0,0.333333333,positive
Argentina,29,102,93,224,0.415178571,0.129464286,0.455357143,neutral
Australia,601,1124,1843,3568,0.516535874,0.168441704,0.315022422,positive
Austria,35,352,185,572,0.323426573,0.061188811,0.615384615,neutral
Azerbaijan,4,9,10,23,0.434782609,0.173913043,0.391304348,positive
Bahamas,5,13,10,28,0.357142857,0.178571429,0.464285714,neutral
Bahrain,3,4,17,24,0.708333333,0.125,0.166666667,positive
Bangladesh,14,28,88,130,0.676923077,0.107692308,0.215384615,positive
Barbados,5,3,13,21,0.619047619,0.238095238,0.142857143,positive
Belarus,1,5,6,12,0.5,0.083333333,0.416666667,positive
Belgium,95,689,732,1516,0.482849604,0.062664908,0.454485488,positive
Belize,1,1,2,4,0.5,0.25,0.25,positive
Benin,0,1,4,5,0.8,0,0.2,positive
Bermuda,1,5,6,12,0.5,0.083333333,0.416666667,positive
Bhutan,0,0,3,3,1,0,0,positive
Bolivia,6,35,55,96,0.572916667,0.0625,0.364583333,positive
Bosnia and Herzegovina,1,3,10,14,0.714285714,0.071428571,0.214285714,positive
Botswana,1,5,5,11,0.454545455,0.090909091,0.454545455,positive
Brazil,88,666,1187,1941,0.611540443,0.045337455,0.343122102,positive
Brunei,0,5,3,8,0.375,0,0.625,neutral
Bulgaria,2,30,26,58,0.448275862,0.034482759,0.517241379,neutral
Burkina Faso,1,1,1,3,0.333333333,0.333333333,0.333333333,positive
Burundi,1,0,1,2,0.5,0.5,0,positive
Cabo Verde,0,1,0,1,0,0,1,neutral
Cambodia,0,8,7,15,0.466666667,0,0.533333333,neutral
Cameroon,1,4,8,13,0.615384615,0.076923077,0.307692308,positive
Canada,958,2187,3523,6668,0.528344331,0.143671266,0.327984403,positive
Central African Republic,0,1,4,5,0.8,0,0.2,positive
Chad,1,1,0,2,0,0.5,0.5,negative
Chile,13,44,71,128,0.5546875,0.1015625,0.34375,positive
China,10355,46613,27691,84659,0.327088673,0.122314225,0.550597101,neutral
Colombia,17,89,215,321,0.669781931,0.052959502,0.277258567,positive
Columbia,0,0,2,2,1,0,0,positive
Comoros,0,0,1,1,1,0,0,positive
Congo,3,4,4,11,0.363636364,0.272727273,0.363636364,positive
Costa Rica,8,64,31,103,0.300970874,0.077669903,0.621359223,neutral
Croatia,17,20,46,83,0.554216867,0.204819277,0.240963855,positive
Cuba,2,3,3,8,0.375,0.25,0.375,positive
Cyprus,13,49,44,106,0.41509434,0.122641509,0.462264151,neutral
Czech Republic,25,62,63,150,0.42,0.166666667,0.413333333,positive
Czechia,1,0,2,3,0.666666667,0.333333333,0,positive
Côte D'Ivoire,1,0,7,8,0.875,0.125,0,positive
Denmark,70,133,227,430,0.527906977,0.162790698,0.309302326,positive
Djibouti,1,2,1,4,0.25,0.25,0.5,neutral
Dominican Republic,3,17,27,47,0.574468085,0.063829787,0.361702128,positive
Ecuador,13,68,59,140,0.421428571,0.092857143,0.485714286,neutral
Egypt,24,58,119,201,0.592039801,0.119402985,0.288557214,positive
El Salvador,6,8,22,36,0.611111111,0.166666667,0.222222222,positive
Equatorial Guinea,1,0,3,4,0.75,0.25,0,positive
Eritrea,0,0,1,1,1,0,0,positive
Estonia,7,24,62,93,0.666666667,0.075268817,0.258064516,positive
Eswatini,0,0,2,2,1,0,0,positive
Ethiopia,0,6,17,23,0.739130435,0,0.260869565,positive
Fiji,0,10,1,11,0.090909091,0,0.909090909,neutral
Finland,55,217,211,483,0.436853002,0.113871636,0.449275362,neutral
France,217,1620,2306,4143,0.556601497,0.052377504,0.391020999,positive
Gabon,0,1,1,2,0.5,0,0.5,positive
Gambia,1,1,0,2,0,0.5,0.5,negative
Georgia,15,20,26,61,0.426229508,0.245901639,0.327868852,positive
Germany,373,1848,2315,4536,0.510361552,0.082231041,0.407407407,positive
Ghana,25,77,113,215,0.525581395,0.11627907,0.358139535,positive
Greece,45,145,147,337,0.43620178,0.133531157,0.430267062,positive
Grenada,0,1,1,2,0.5,0,0.5,positive
Guatemala,2,5,4,11,0.363636364,0.181818182,0.454545455,neutral
Guyana,3,3,8,14,0.571428571,0.214285714,0.214285714,positive
Haiti,2,3,9,14,0.642857143,0.142857143,0.214285714,positive
Honduras,4,8,41,53,0.773584906,0.075471698,0.150943396,positive
Hungary,8,28,52,88,0.590909091,0.090909091,0.318181818,positive
Iceland,6,11,14,31,0.451612903,0.193548387,0.35483871,positive
India,1007,2970,5441,9418,0.577723508,0.106922914,0.315353578,positive
Indonesia,65,227,298,590,0.505084746,0.110169492,0.384745763,positive
Iran,12,38,42,92,0.456521739,0.130434783,0.413043478,positive
Iraq,8,9,8,25,0.32,0.32,0.36,neutral
Ireland,122,563,508,1193,0.425817267,0.102263202,0.471919531,neutral
Israel,41,148,204,393,0.519083969,0.1043257,0.376590331,positive
Italy,102,633,875,1610,0.543478261,0.063354037,0.393167702,positive
Jamaica,13,30,23,66,0.348484848,0.196969697,0.454545455,neutral
Japan,150,838,729,1717,0.424577752,0.087361677,0.488060571,neutral
Jordan,4,28,49,81,0.604938272,0.049382716,0.345679012,positive
Kazakhstan,2,5,8,15,0.533333333,0.133333333,0.333333333,positive
Kenya,66,155,309,530,0.583018868,0.124528302,0.29245283,positive
Kiribati,1,5,1,7,0.142857143,0.142857143,0.714285714,neutral
